"Date","Time","Open","High","Low","Close","Up","Down"
02/16/2018,09:20:02,337.81,338.20,337.80,337.90,9360,11138
02/16/2018,09:20:45,337.86,338.27,337.83,338.12,9868,6871
02/16/2018,09:21:57,338.11,338.69,337.98,338.69,11905,9390
02/16/2018,09:24:10,338.69,339.27,338.41,339.27,13031,8608
02/16/2018,09:26:40,339.26,339.48,338.57,338.57,16284,14383
02/16/2018,09:29:44,338.62,338.89,337.93,338.09,9922,12132
02/16/2018,09:31:24,338.08,338.37,337.21,337.59,9918,11544
02/16/2018,09:32:43,337.55,338.01,337.42,338.01,8938,8343
02/16/2018,09:34:49,337.91,338.11,337.48,338.02,12270,8809
02/16/2018,09:37:19,338.02,339.02,338.02,339.02,16049,10233
02/16/2018,09:40:13,339.03,339.20,338.53,338.86,12365,9851
02/16/2018,09:43:07,338.97,339.33,338.83,339.22,11709,7335
02/16/2018,09:47:24,339.16,339.16,338.07,338.28,8619,17690
02/16/2018,09:48:55,338.25,338.28,337.67,338.01,6961,13223
02/16/2018,09:51:59,338.04,338.26,337.80,337.91,12000,7483
02/16/2018,09:54:13,338.08,338.08,337.32,337.32,8925,10319
02/16/2018,09:55:49,337.32,337.94,337.20,337.66,9589,9299
02/16/2018,09:58:53,337.80,338.11,337.57,338.11,9823,10905
02/16/2018,10:02:16,338.11,338.70,337.73,338.40,10970,10549
02/16/2018,10:05:46,338.30,338.47,337.62,337.81,6075,11619
02/16/2018,10:11:07,337.82,338.42,337.70,338.26,13698,9287
02/16/2018,10:15:21,338.22,338.23,337.39,337.49,7186,14893
02/16/2018,10:16:46,337.36,337.74,337.13,337.13,8845,9139
02/16/2018,10:17:51,337.18,337.18,336.63,336.89,6700,10228
02/16/2018,10:19:14,336.89,337.15,336.49,336.55,12910,11678
02/16/2018,10:20:38,336.54,336.97,336.13,336.27,14323,15205
02/16/2018,10:21:34,336.40,336.55,335.83,336.28,10897,7979
02/16/2018,10:22:07,336.16,336.26,335.33,335.59,7760,15832
02/16/2018,10:22:32,335.58,335.58,335.02,335.29,5891,27328
02/16/2018,10:22:50,335.15,335.53,335.00,335.00,5239,13310
02/16/2018,10:23:25,335.00,335.67,334.54,335.46,5681,14177
02/16/2018,10:24:15,335.46,335.70,335.06,335.48,7519,7880
02/16/2018,10:24:54,335.56,335.65,335.00,335.27,4639,10313
02/16/2018,10:25:29,335.25,335.46,334.81,335.41,6869,7946
02/16/2018,10:26:22,335.56,335.83,334.82,335.29,7531,8992
02/16/2018,10:27:17,335.29,335.59,334.99,335.17,16038,6500
02/16/2018,10:29:32,335.18,336.24,335.02,336.02,10375,8874
02/16/2018,10:31:50,336.05,336.89,335.86,336.48,9645,9056
02/16/2018,10:34:27,336.44,336.88,336.42,336.57,11399,9130
02/16/2018,10:38:23,336.57,336.80,336.23,336.43,11977,11990
02/16/2018,10:40:55,336.49,336.50,335.67,335.68,8076,9511
02/16/2018,10:45:45,335.68,336.02,335.40,335.75,7304,11953
02/16/2018,10:47:55,335.74,335.74,334.83,334.89,4980,15711
02/16/2018,10:50:37,334.99,336.20,334.82,336.04,14791,8394
02/16/2018,10:56:18,335.87,336.25,335.54,335.93,10269,9143
02/16/2018,11:00:03,335.96,337.40,335.96,337.27,11274,11933
02/16/2018,11:03:58,337.27,337.58,335.92,336.01,6685,12222
02/16/2018,11:07:57,336.10,336.53,335.95,336.48,10515,5019
02/16/2018,11:11:40,336.48,337.66,336.42,337.20,11283,12650
02/16/2018,11:16:12,337.13,337.13,336.17,336.36,6815,15310
02/16/2018,11:21:11,336.29,336.43,335.66,336.39,8994,9592
02/16/2018,11:26:01,336.39,336.57,336.12,336.57,9723,8307
02/16/2018,11:29:02,336.57,336.99,336.11,336.12,8320,10098
02/16/2018,11:31:17,336.08,336.90,335.76,336.68,7960,10757
02/16/2018,11:34:04,336.68,336.68,336.00,336.00,5497,10245
02/16/2018,11:35:01,336.00,336.13,335.81,336.05,10558,6746
02/16/2018,11:37:00,336.08,336.39,335.50,336.14,9333,10004
02/16/2018,11:38:57,335.95,336.16,335.24,335.89,8142,10579
02/16/2018,11:40:56,335.80,335.80,335.23,335.30,6587,7772
02/16/2018,11:43:42,335.26,335.65,335.26,335.54,7502,12012
02/16/2018,11:46:10,335.61,336.33,335.51,336.18,18911,6028
02/16/2018,11:48:07,336.18,336.44,336.08,336.30,6836,7732
02/16/2018,11:50:00,336.34,336.50,336.00,336.43,5619,8192
02/16/2018,11:50:53,336.58,336.79,336.02,336.23,8814,6744
02/16/2018,11:52:06,336.23,336.39,336.04,336.22,8842,6092
02/16/2018,11:53:29,336.31,336.32,336.11,336.22,7967,6532
02/16/2018,11:54:49,336.21,336.37,336.11,336.19,6186,8139
02/16/2018,11:56:25,336.22,336.30,336.09,336.11,5326,7120
02/16/2018,11:57:24,336.11,336.20,336.00,336.04,9216,12528
02/16/2018,11:58:21,336.02,336.08,335.61,335.63,4828,14760
02/16/2018,11:58:57,335.63,335.69,335.51,335.68,7291,9878
02/16/2018,11:59:16,335.68,335.73,335.51,335.57,6370,5547
02/16/2018,11:59:40,335.57,335.63,335.35,335.45,7589,8449
02/16/2018,11:59:59,335.51,335.66,335.35,335.49,8892,7362
