Date,Time,Open,High,Low,Close,Volume
2017.12.29,19:00,1.20216,1.20238,1.19924,1.19973,13567
2017.12.29,15:00,1.19865,1.20253,1.19853,1.20214,22432
2017.12.29,11:00,1.1981,1.19984,1.19733,1.19866,17779
2017.12.29,07:00,1.19487,1.19874,1.19458,1.1981,18233
2017.12.29,03:00,1.1942,1.19493,1.19374,1.19488,7397
2017.12.28,23:00,1.19422,1.1949,1.19363,1.19419,7774
2017.12.28,19:00,1.19527,1.19589,1.1939,1.19421,11003
2017.12.28,15:00,1.1947,1.19549,1.19363,1.19527,21177
2017.12.28,11:00,1.19316,1.19471,1.19231,1.1947,18046
2017.12.28,07:00,1.19314,1.19463,1.19257,1.19317,15930
2017.12.28,03:00,1.19054,1.19327,1.19021,1.19314,10620
2017.12.27,23:00,1.18869,1.19055,1.18864,1.19054,9245
2017.12.27,19:00,1.18987,1.19032,1.18843,1.18876,11706
2017.12.27,15:00,1.19009,1.191,1.18852,1.18987,21019
2017.12.27,11:00,1.18877,1.19041,1.18802,1.19008,20307
2017.12.27,07:00,1.1878,1.18907,1.18642,1.18877,17833
2017.12.27,03:00,1.186,1.18801,1.18591,1.18777,7678
2017.12.26,23:00,1.18578,1.18643,1.18548,1.186,6910
2017.12.26,19:00,1.18701,1.18717,1.18577,1.1858,8056
2017.12.26,15:00,1.18551,1.18786,1.1855,1.18702,13617
2017.12.26,11:00,1.18606,1.18607,1.18464,1.1855,7945
2017.12.26,07:00,1.18671,1.18754,1.18573,1.18607,4204
2017.12.22,19:00,1.18529,1.18635,1.18435,1.18588,18433
2017.12.22,15:00,1.18543,1.18566,1.1828,1.18528,23728
2017.12.22,11:00,1.18485,1.18569,1.1845,1.18545,20194
2017.12.22,07:00,1.18495,1.18619,1.18445,1.18486,19062
2017.12.22,03:00,1.18442,1.18516,1.18422,1.18494,7606
2017.12.21,23:00,1.18728,1.18753,1.18166,1.18442,15649
2017.12.21,19:00,1.18675,1.18785,1.18615,1.18733,10976
2017.12.21,15:00,1.18584,1.18788,1.1849,1.18675,24799
2017.12.21,11:00,1.18806,1.18893,1.18509,1.18583,21797
2017.12.21,07:00,1.18676,1.18869,1.18631,1.18805,19767
2017.12.21,03:00,1.18706,1.18756,1.1863,1.18676,7757
2017.12.20,23:00,1.18702,1.18818,1.18685,1.18706,9136
2017.12.20,19:00,1.18766,1.18888,1.18686,1.18706,13014
2017.12.20,15:00,1.18438,1.19015,1.1843,1.18765,31422
2017.12.20,11:00,1.18374,1.18578,1.18321,1.18437,21496
2017.12.20,07:00,1.18457,1.18538,1.18287,1.18374,20059
2017.12.20,03:00,1.18416,1.18467,1.18408,1.18455,6469
2017.12.19,23:00,1.18393,1.1846,1.18352,1.18417,7470
2017.12.19,19:00,1.18284,1.18485,1.18278,1.18392,15179
2017.12.19,15:00,1.18266,1.18301,1.18044,1.18285,32049
2017.12.19,11:00,1.18062,1.18317,1.17996,1.18265,23306
2017.12.19,07:00,1.17922,1.18184,1.179,1.18063,19243
2017.12.19,03:00,1.17821,1.17955,1.178,1.17922,7651
2017.12.18,23:00,1.17812,1.17856,1.17764,1.1782,8275
2017.12.18,19:00,1.17902,1.17975,1.17749,1.17812,12737
2017.12.18,15:00,1.17934,1.18341,1.17877,1.17901,25823
2017.12.18,11:00,1.1789,1.1799,1.17838,1.17934,18503
2017.12.18,07:00,1.17607,1.17948,1.17607,1.17889,19313
2017.12.18,03:00,1.1756,1.17649,1.17554,1.17606,8289
2017.12.17,23:00,1.17442,1.17567,1.17377,1.17561,12249
2017.12.15,19:00,1.17649,1.17654,1.17495,1.17505,13986
2017.12.15,15:00,1.17993,1.18,1.17603,1.17643,32113
2017.12.15,11:00,1.17969,1.18121,1.17908,1.17992,20220
2017.12.15,07:00,1.17834,1.17984,1.17789,1.17968,15318
2017.12.15,03:00,1.17843,1.17909,1.17782,1.17835,9556
2017.12.14,23:00,1.17779,1.179,1.17644,1.17842,10336
2017.12.14,19:00,1.17876,1.18012,1.17746,1.17772,16793
2017.12.14,15:00,1.18204,1.18265,1.17705,1.17877,30269
